# HI mass function from Zwaan etal (2005) MNRAS 359, L30 (2005)
# table supplied by M. Zwaan (email 10/7/08)
# derived from full HIPASS catalogue (4315 galaxies)
# data are 2DSWML estimates, as shown in Fig.1
#
# Theta is dn/dlog10(MHI) in Mpc^-3
# H0=75 assumed
#
#    log(MHI)  log(Theta) lower 1 sigma upper 1 sigma
7.186 -0.733 0.397 0.2039
7.3345 -0.8838 0.3179 0.1816
7.483 -1.1 0.301 0.1761
7.6315 -1.056 0.1955 0.1343
7.78 -1.207 0.1992 0.136
7.9285 -1.35 0.1374 0.1042
8.077 -1.315 0.08988 0.07443
8.2255 -1.331 0.07159 0.06144
8.374 -1.308 0.05789 0.05108
8.5225 -1.31 0.04438 0.04027
8.671 -1.455 0.04284 0.03899
8.8195 -1.555 0.03725 0.03431
8.968 -1.55 0.03187 0.02969
9.1165 -1.69 0.03179 0.02962
9.265 -1.735 0.02666 0.02512
9.4135 -1.843 0.02456 0.02324
9.562 -1.974 0.02352 0.02231
9.7105 -2.166 0.02506 0.0237
9.859 -2.401 0.02768 0.02602
10.0075 -2.785 0.03275 0.03045
10.156 -3.013 0.03628 0.03348
10.3045 -3.417 0.05028 0.04506
10.453 -4.044 0.07708 0.06544
10.6015 -4.83 0.1562 0.1147
10.75 -5.451 0.2567 0.1602
